,Fridays,Mondays
2524,2018-05-18,2018-05-21
2525,2018-05-25,2018-05-28
2526,2018-06-01,2018-06-04
2527,2018-06-08,2018-06-11
2528,2018-06-15,2018-06-18
2529,2018-06-22,2018-06-25
2530,2018-06-29,2018-07-02
2531,2018-07-06,2018-07-09
2532,2018-07-13,2018-07-16
2533,2018-07-20,2018-07-23
2534,2018-07-27,2018-07-30
2535,2018-08-03,2018-08-06
2536,2018-08-10,2018-08-13
2537,2018-08-17,2018-08-20
2538,2018-08-24,2018-08-27
2539,2018-08-31,2018-09-03
2540,2018-09-07,2018-09-10
2541,2018-09-14,2018-09-17
2542,2018-09-21,2018-09-24
2543,2018-09-28,2018-10-01
2544,2018-10-05,2018-10-08
2545,2018-10-12,2018-10-15
2546,2018-10-19,2018-10-22
2547,2018-10-26,2018-10-29
2548,2018-11-02,2018-11-05
2549,2018-11-09,2018-11-12
2550,2018-11-16,2018-11-19
2551,2018-11-23,2018-11-26
2552,2018-11-30,2018-12-03
2553,2018-12-07,2018-12-10
2554,2018-12-14,2018-12-17
2555,2018-12-21,2018-12-24
2556,2018-12-28,2018-12-31
