,Fridays,Mondays
824,1985-10-18,1985-10-21
825,1985-10-25,1985-10-28
826,1985-11-01,1985-11-04
827,1985-11-08,1985-11-11
828,1985-11-15,1985-11-18
829,1985-11-22,1985-11-25
830,1985-11-29,1985-12-02
831,1985-12-06,1985-12-09
832,1985-12-13,1985-12-16
833,1985-12-20,1985-12-23
834,1985-12-27,1985-12-30
835,1986-01-03,1986-01-06
836,1986-01-10,1986-01-13
837,1986-01-17,1986-01-20
838,1986-01-24,1986-01-27
839,1986-01-31,1986-02-03
840,1986-02-07,1986-02-10
841,1986-02-14,1986-02-17
842,1986-02-21,1986-02-24
843,1986-02-28,1986-03-03
844,1986-03-07,1986-03-10
845,1986-03-14,1986-03-17
846,1986-03-21,1986-03-24
847,1986-03-28,1986-03-31
848,1986-04-04,1986-04-07
849,1986-04-11,1986-04-14
850,1986-04-18,1986-04-21
851,1986-04-25,1986-04-28
852,1986-05-02,1986-05-05
853,1986-05-09,1986-05-12
854,1986-05-16,1986-05-19
855,1986-05-23,1986-05-26
856,1986-05-30,1986-06-02
857,1986-06-06,1986-06-09
858,1986-06-13,1986-06-16
859,1986-06-20,1986-06-23
860,1986-06-27,1986-06-30
861,1986-07-04,1986-07-07
862,1986-07-11,1986-07-14
863,1986-07-18,1986-07-21
864,1986-07-25,1986-07-28
865,1986-08-01,1986-08-04
866,1986-08-08,1986-08-11
867,1986-08-15,1986-08-18
868,1986-08-22,1986-08-25
869,1986-08-29,1986-09-01
870,1986-09-05,1986-09-08
871,1986-09-12,1986-09-15
